PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,Premium,OnboardResp
0,0,0,2,1,5000,2400,1931,2,100,0,1,0,990000,87000,5500,1
0,0,0,3,1,5800,0,1931,3,100,0,0,0,998000,158000,5550,1
0,0,0,3,1,5880,1470,1982,3,100,0,1,0,999600,66000,7333,1
0,0,0,3,1,5880,1470,1982,3,100,0,1,0,999600,66000,7333,1
0,0,0,1,1,3268,0,1915,4,100,0,0,0,1000000,150000,0,1
0,0,0,1,1,3268,0,1915,4,100,0,0,0,1000000,150000,0,1
0,0,0,2,1,3000,0,1900,3,100,0,0,0,1000000,80000,2830,1
1,0,0,3,1,2475,0,1899,4,100,0,0,0,1000000,40000,2484,0
0,0,0,2,1,6114,0,2013,4,100,0,0,0,1000000,100000,5437,1
0,0,0,3,1,3090,0,1905,3,100,0,0,0,1000000,15000,2204,1
0,0,0,3,1,3234,0,2006,3,100,0,0,0,1000000,54000,2620,1
0,0,0,2,1,3600,0,1910,4,100,0,0,0,1000000,100000,20303,1
0,0,0,2,1,2950,0,1930,2,100,0,0,0,1000000,250000,4053,1
0,0,0,2,1,2700,0,1900,3,100,0,0,0,1000000,100000,5364,1
1,0,0,3,1,3700,0,1899,3,100,0,0,0,1000000,150000,5319,0
0,0,0,2,1,2580,0,1910,3,100,0,0,0,1000000,100000,2445,1
0,0,1,2,1,2160,0,1920,2,100,0,0,0,1000000,80000,1802,0
0,0,0,2,1,3388,0,1900,3,100,0,0,0,1000000,140000,3734,1
1,0,0,3,1,4038,1738,1890,3,100,0,1,1,1000000,100000,4119,0
0,0,0,3,1,3789,0,1900,3,100,0,0,0,1000000,250000,0,1
0,0,0,2,1,2464,0,1931,3,100,0,0,0,1000000,90000,2997,1
0,0,0,2,1,3720,0,1985,3,100,0,0,0,1000000,110000,4317,1
0,0,0,3,1,3630,0,1965,2,100,0,0,0,1000000,30000,0,1
0,0,0,2,1,3577,0,1960,3,100,0,0,0,1000000,60000,2985,1
0,0,0,2,1,4200,2100,1920,2,100,0,1,0,1000000,50000,0,1
1,0,0,2,1,3000,0,1899,3,100,0,0,0,1000000,75000,2830,0
0,0,0,2,1,6000,700,1989,3,100,0,1,0,1000000,75000,6528,1
0,0,0,2,1,3540,0,1927,3,100,0,0,0,1000000,100000,3813,1
0,0,0,2,1,3500,0,1901,3,100,0,0,1,1000000,100000,0,1
0,0,0,2,1,3600,0,1900,4,100,0,0,0,1000000,140000,20303,1
0,0,0,3,1,3026,0,1901,2,100,0,0,0,1000000,18000,5290,1
0,0,0,3,1,3850,0,1930,3,100,0,0,0,1000000,50000,4183,1
0,0,0,2,1,1734,0,1900,2,100,0,0,0,1000000,50000,4460,1
0,0,0,3,1,2000,0,1900,3,100,0,0,0,1000000,40000,0,1
0,0,0,2,1,2600,0,1930,2,100,0,0,0,1000000,30000,1435,1
0,0,1,2,1,3200,0,1910,2,100,0,0,0,1000000,100000,20303,0
0,0,1,3,1,4800,0,1970,3,100,0,0,0,1000000,100000,3364,0
0,0,0,3,1,2800,0,1900,3,100,0,0,0,1000000,35000,3958,1
1,0,0,2,1,3000,0,1899,3,100,0,0,0,1000000,75000,2830,0
0,0,0,2,1,3007,0,1901,3,100,0,0,0,1000000,70000,4517,1
0,0,0,3,1,3744,0,1901,4,100,0,0,0,1000000,40000,1696,1
0,0,0,2,1,5360,0,1990,4,100,0,0,0,1000000,106000,0,1
5,0,1,2,1,4030,0,1930,4,100,0,0,0,1000000,201600,3452,0
0,5,1,2,1,4875,0,1930,3,100,0,0,0,1000000,147000,6219,0
0,5,1,2,1,2400,0,1935,2,100,0,0,0,1000000,87600,1305,0
0,0,0,2,1,4000,0,1900,3,100,0,0,0,1000000,74400,4780,1
0,0,1,2,1,4488,0,1935,3,100,0,0,0,1000000,115000,2587,0
0,0,0,2,1,4400,500,1931,4,100,0,1,0,1000000,280000,5668,1
5,0,1,2,1,4224,0,1931,3,100,0,0,1,1000000,219300,3917,0
0,0,0,2,1,4060,0,1900,5,100,0,0,0,1015000,174000,3108,1
0,0,1,2,1,4960,2480,1950,2,100,0,1,0,1016800,100000,3502,0
0,0,1,2,1,4000,0,1909,3,100,0,0,0,1021769,100000,4780,0
0,0,0,2,1,3040,0,2017,3,100,0,0,0,1024500,110000,0,1
0,0,0,2,1,4046,0,1920,3,100,0,0,0,1026500,180000,8267,1
0,0,0,2,1,3990,1330,1931,3,100,0,1,0,1030000,35000,48254,1
0,0,0,3,1,3440,0,1930,2,100,0,0,0,1034400,36000,8668,1
0,0,0,2,3,5600,0,1930,3,100,0,0,0,1037594,103759,8501,1
0,0,0,2,3,3600,0,2007,0,100,0,0,0,1038000,90000,20303,1
0,0,0,2,1,5200,0,1910,4,100,0,0,0,1040000,65000,4606,1
0,0,0,3,1,5200,1300,1960,3,100,0,1,0,1040000,30000,4606,1
0,0,1,2,1,4538,0,1930,3,100,0,0,0,1040000,50000,22972,0
0,0,1,2,1,6000,1500,1950,4,100,0,1,0,1050000,120000,6528,0
0,0,0,2,1,3960,0,1931,2,100,0,0,0,1050000,25000,3055,1
0,0,0,3,1,2646,0,1965,3,100,0,0,0,1050000,25000,0,1
0,0,0,3,1,2646,0,1965,3,100,0,0,0,1050000,25000,0,1
0,0,0,2,1,3960,0,1939,3,100,0,0,0,1050000,25000,3055,1
1,0,0,3,1,3352,0,1899,3,100,0,0,0,1050600,0,0,0
0,0,0,3,1,3200,0,1920,2,100,0,0,0,1053000,34800,20303,1
1,0,0,2,3,4400,0,1899,4,100,0,0,0,1060000,193800,5668,0
0,0,1,2,1,5546,0,1934,4,100,0,0,0,1060800,150000,0,0
0,0,0,2,1,6064,0,1931,4,100,0,0,0,1061200,106120,7210,1
0,0,0,2,1,4300,1600,1940,4,100,0,1,0,1061208,36000,3062,1
0,0,0,2,1,4455,0,1931,3,100,0,0,0,1062500,102480,4310,1
0,0,0,2,1,3552,0,1901,2,100,0,0,0,1065244,100000,1431,1
0,0,0,3,1,3888,0,1925,2,100,0,0,0,1071000,50000,0,1
0,0,0,2,3,3600,0,2007,3,100,0,0,0,1078000,90000,20303,1
0,0,0,2,1,5400,0,1930,3,100,0,0,0,1080000,86000,6279,1
0,0,0,2,1,4000,0,1880,4,100,0,0,1,1081309,72000,4780,0
0,0,0,2,3,4960,0,1960,3,100,0,0,0,1100000,60000,3502,1
0,0,0,2,3,4144,0,1970,3,100,0,0,0,1100000,65000,4053,1
0,0,0,2,1,4875,0,1930,3,100,0,0,0,1100000,106632,6219,1
0,0,0,2,1,5500,1375,1958,4,100,0,1,0,1100000,140000,8490,1
0,0,0,2,1,3760,0,1920,3,100,0,0,0,1100000,156000,0,1
0,0,0,3,1,3600,0,1920,3,100,0,0,0,1100000,0,20303,1
0,0,0,3,1,4100,0,1970,3,100,0,0,0,1100000,70000,2261,1
0,0,0,2,1,4350,0,1931,3,100,0,0,0,1100000,216000,5794,1
0,0,0,3,1,4172,0,1915,2,100,0,0,0,1100000,60000,9567,1
0,0,0,2,1,4800,0,1986,3,100,0,0,0,1100000,65000,3364,1
0,0,0,2,1,5000,1000,1931,3,100,0,1,0,1100000,150000,5500,1
0,0,0,2,1,5000,0,1901,4,100,0,0,0,1103813,59606,5500,1
0,0,0,2,1,3300,0,1910,3,100,0,0,0,1104000,75000,4875,1
1,0,0,2,1,2850,950,1672,3,100,0,1,0,1111366,75000,6059,0
0,0,0,2,5,5904,0,1906,3,100,0,0,0,1115000,108000,3954,1
0,0,0,3,1,5880,1470,1982,3,100,0,1,0,1115000,66000,7333,1
0,0,0,3,1,4480,0,1910,3,100,0,0,0,1119000,0,5783,1
0,0,1,2,1,4500,0,1931,3,100,0,0,0,1125000,96000,4101,0
0,0,1,3,1,4500,0,1925,3,100,0,0,0,1125000,50000,4101,0
0,0,0,2,1,5400,2400,1920,4,100,0,1,0,1126944,120000,6279,1
0,0,0,3,1,6000,0,1970,3,100,0,0,0,1141000,30000,6528,1
0,0,0,3,1,6000,0,1970,3,100,0,0,0,1141000,36000,6528,1
0,0,0,3,1,4400,0,1930,2,100,0,0,0,1143000,36000,5668,1
0,0,1,3,1,4137,0,1939,2,100,0,1,0,1143000,25000,4131,0
0,0,0,2,1,6000,0,2006,3,100,0,0,0,1144000,114400,6528,1
0,0,0,2,1,4750,1000,1900,5,75,0,1,0,1150000,200000,7064,1
0,0,0,2,1,4283,1427,1901,3,100,0,1,0,1150194,350000,0,1
0,0,0,2,1,5600,0,1931,4,100,0,0,0,1153000,96000,8501,1
0,0,1,2,1,6550,3000,1930,4,100,0,1,0,1153160,110000,3462,0
0,0,0,2,1,4680,0,1977,3,100,0,0,0,1161000,68000,9099,1
1,0,1,2,1,6880,0,1915,4,100,0,0,0,1170000,61000,7819,0
0,0,0,2,1,4900,0,1940,2,100,0,0,1,1173000,20000,5013,1
0,0,0,2,1,5670,0,1923,3,100,0,0,0,1173500,102000,7692,1
0,0,1,2,1,3600,0,1899,2,100,0,0,0,1175000,125000,20303,0
0,0,0,4,1,5900,0,1930,4,100,0,0,1,1180000,76000,0,1
0,0,1,2,1,6733,1496,1910,4,100,0,1,0,1182308,170000,0,0
0,0,0,2,1,2430,0,2005,3,100,0,0,0,1185000,150000,1637,1
0,0,1,2,1,2043,0,2005,3,0,0,0,0,1185000,150000,2170,0
0,0,0,4,1,4752,0,2004,3,100,0,0,0,1188000,0,0,1
0,0,0,2,1,7000,0,1982,3,100,0,0,0,1190000,65000,11023,1
0,0,0,3,1,3600,0,1901,3,100,0,0,0,1195012,65000,20303,1
0,0,1,3,3,3600,0,1925,2,100,0,0,0,1195816,40000,20303,0
0,0,0,2,1,4600,0,1927,3,100,0,1,0,1196000,350000,5166,1
0,0,0,3,1,3300,0,1931,4,100,0,0,0,1200000,60000,4875,1
1,0,0,2,1,2630,0,1899,3,100,0,0,0,1200000,192000,0,0
0,0,0,2,1,2800,0,1920,2,100,0,0,0,1200000,80000,3958,1
0,0,0,2,3,5850,0,2007,3,100,0,0,0,1200000,75000,6894,1
0,0,0,3,1,2580,0,2019,2,100,0,0,1,1200000,0,2445,1
0,0,0,3,1,5265,1000,1930,3,100,0,1,0,1200000,40000,5158,1
0,0,1,4,3,3500,0,1905,4,100,0,0,1,1200000,120000,0,0
0,0,0,2,1,6715,0,2008,3,100,0,0,1,1200000,50000,0,1
1,0,1,2,1,3952,0,2004,4,100,0,0,0,1200000,108000,3834,0
0,0,0,3,1,1624,0,1900,2,100,0,0,0,1200000,60000,0,1
0,0,1,2,1,3096,0,1930,3,100,0,0,0,1200000,50000,0,0
0,0,0,2,1,4796,1200,1920,4,100,0,1,0,1200000,200000,15972,1
0,0,1,2,1,5400,1800,1935,3,100,0,1,0,1200000,150000,6279,0
0,0,0,2,1,2500,0,1925,2,100,0,0,0,1200000,40000,1686,1
0,0,0,3,1,3200,0,1920,3,100,0,0,0,1200000,40000,20303,1
0,0,0,2,1,4500,1050,1931,3,80,0,1,1,1200000,100000,4101,1
1,0,0,3,1,3000,0,1899,2,100,0,0,0,1200000,120000,2830,0
0,0,0,2,1,4300,0,2021,4,100,0,0,0,1200000,180000,3062,1
0,0,0,2,1,3200,0,1909,3,100,0,0,0,1200000,80000,20303,1
0,0,0,3,1,3909,0,1930,4,100,0,0,0,1200000,90000,15367,1
0,0,0,2,1,3080,0,1931,2,100,0,0,0,1200000,36000,3215,1
0,0,0,2,1,2500,0,1997,0,100,0,0,0,1200000,25000,1686,1
0,0,0,2,1,5000,1500,1931,2,100,0,1,0,1200000,140000,5500,1
0,0,0,2,3,5850,0,2007,4,100,0,0,0,1200000,10000,6894,1
1,0,0,2,1,2630,0,1899,3,100,0,0,0,1200000,192000,0,0
0,0,0,2,1,6000,1980,1931,3,100,0,1,0,1200000,0,6528,1
0,0,1,2,3,4000,0,2004,4,100,0,0,0,1200000,100000,4780,0
0,0,1,2,1,7100,0,1931,3,100,0,0,0,1208023,65000,6588,0
0,0,0,2,1,2223,0,1920,3,100,0,0,0,1224000,90000,7047,1
0,0,0,2,1,2223,0,1920,3,100,0,0,0,1224000,90000,7047,1
0,0,1,2,1,5500,1125,1931,5,85,0,1,0,1237500,200000,8490,0
0,0,0,4,1,5080,0,1980,4,100,0,0,0,1238000,0,4166,1
0,0,0,2,1,5750,0,1920,4,100,0,0,0,1245000,116000,6202,1
0,0,1,2,1,7200,0,1932,3,100,0,0,0,1250000,82000,7473,0
0,0,0,2,1,7000,2500,1931,3,100,0,1,0,1250000,180000,11023,1
0,0,0,2,3,4125,0,1910,4,100,0,0,0,1250000,72000,5650,1
0,0,0,3,1,3200,0,1900,3,100,0,0,0,1250000,60000,20303,1
0,0,0,2,1,4000,0,1905,3,100,0,0,0,1250000,80000,4780,1
0,0,0,3,3,4250,0,1965,3,100,0,0,0,1260000,25000,0,1
0,0,0,3,1,4120,0,1965,3,100,0,0,0,1260000,25000,20303,1
1,0,1,2,1,6880,740,1915,4,100,0,1,0,1281239,61000,7819,0
0,0,1,2,1,7500,2250,1940,2,100,0,1,1,1288000,219000,0,0
0,0,0,2,1,5500,0,1984,2,100,0,0,0,1289000,18300,8490,1
0,0,0,3,1,3000,0,1900,3,100,0,0,0,1300000,80000,2830,1
0,0,0,3,1,3600,0,1985,2,100,0,0,0,1300000,0,20303,1
0,0,0,2,1,3276,0,1931,4,100,0,0,0,1300000,108000,3138,1
0,0,0,2,1,2280,0,1930,3,100,0,0,0,1300000,100000,1722,1
0,0,0,2,1,5200,650,1945,4,100,0,1,0,1300000,100000,4606,1
0,0,1,2,1,2731,0,1920,2,100,0,0,0,1300000,0,5443,0
5,0,1,2,1,5000,2500,1920,3,80,0,1,0,1300000,200000,5500,0
0,0,0,2,1,2994,0,1900,3,100,0,0,1,1300000,120000,2947,1
0,0,0,2,1,5200,650,1945,4,100,0,1,0,1300000,100000,4606,1
0,0,1,2,1,6600,0,1920,3,100,0,0,0,1300000,160000,6503,0
1,0,0,2,1,3200,0,1880,3,100,0,0,0,1300000,70000,20303,0
0,0,1,2,1,5500,0,1931,4,100,0,0,0,1300000,240000,8490,0
0,0,0,2,2,3000,600,2020,4,100,0,1,0,1305000,105000,2830,1
0,0,0,3,1,2793,0,1901,3,100,0,0,1,1308000,65000,2489,1
0,0,0,2,1,4915,700,1915,5,100,0,1,0,1322000,174000,3752,1
0,0,0,3,1,5184,0,1930,2,100,0,0,0,1326125,50000,1539,1
0,0,1,2,1,6668,0,1920,4,100,0,0,0,1333600,160000,6624,0
0,0,1,2,1,8300,1800,1930,4,100,0,1,1,1340000,120000,2966,0
0,0,0,2,1,2903,0,1930,4,100,0,0,0,1346000,100000,0,1
0,0,0,2,1,6000,2000,1901,3,100,0,1,0,1349387,210000,6528,1
0,0,0,2,1,4972,1657,1910,4,100,0,1,1,1350000,100000,5790,1
5,0,1,3,1,2476,0,1900,3,100,0,0,1,1350000,100000,2484,0
0,0,1,2,1,2700,0,1925,2,100,0,0,0,1350000,72000,5364,0
0,0,0,3,1,3760,0,1899,4,100,0,0,0,1350000,135000,0,0
0,0,0,2,1,5508,0,1931,3,100,0,0,0,1377000,137700,0,1
0,0,0,2,1,3325,0,1900,3,100,0,0,0,1379170,40000,0,1
0,0,1,4,1,4080,0,2020,4,100,0,0,1,1400000,15000,4280,0
0,0,0,2,1,4000,0,1920,4,100,0,0,1,1400000,20000,4780,1
0,0,0,2,1,4778,0,1906,3,100,0,0,0,1400000,197000,0,1
0,0,0,2,1,5250,0,1931,3,100,0,0,0,1400000,300000,5924,1
0,0,0,2,1,7000,0,1982,3,100,0,0,0,1400000,60000,11023,1
0,0,0,2,1,5250,0,1935,3,100,0,0,1,1400000,160000,5924,1
1,0,0,3,1,3528,0,1899,3,100,0,0,0,1400000,140000,0,0
0,0,0,4,1,5244,0,1900,4,100,0,0,0,1400000,46000,7223,1
1,0,0,3,1,4000,0,1899,4,100,0,0,0,1400000,30600,4780,0
0,0,0,2,1,6250,0,1920,5,100,0,0,0,1400000,92000,10879,1
0,0,0,2,3,7000,500,1982,3,100,0,1,0,1400000,60000,11023,1
0,0,0,2,1,7112,0,1908,4,100,0,0,0,1407140,0,5687,1
0,0,0,3,1,3642,0,1899,4,100,0,0,1,1411050,80000,2994,0
0,0,0,2,1,5500,1000,1905,4,100,0,1,1,1415000,350000,8490,1
0,0,1,2,1,5670,0,1950,3,100,0,0,0,1417500,96000,7692,0
0,0,0,2,1,7152,0,1920,4,100,0,0,0,1435000,135000,5376,1
0,0,0,1,1,4558,0,1926,5,90,0,0,0,1438997,0,0,1
0,0,1,2,1,7000,1750,1940,3,100,0,1,1,1446000,204000,11023,0
0,0,0,2,1,5500,0,1930,3,100,0,0,0,1450000,60000,8490,1
0,0,0,4,1,4900,0,1967,2,100,0,0,1,1450000,200000,5013,1
0,0,0,3,1,2336,0,1921,3,100,0,0,0,1450000,25000,2254,1
0,0,1,2,1,5850,1950,1910,3,100,0,1,0,1450643,75000,6894,0
0,0,0,2,1,4165,0,1924,4,100,0,0,1,1457750,180000,5287,1
0,0,0,4,1,5940,0,1920,4,100,0,0,0,1485000,20000,0,1
0,0,0,2,1,3960,1250,1910,4,100,0,1,0,1487922,109000,3055,1
1,0,0,2,1,3696,0,1899,2,100,0,0,0,1500000,45000,6199,0
0,0,0,2,1,8508,0,1931,4,100,0,0,0,1500000,100000,0,1
0,0,0,2,2,6604,0,2017,4,100,0,1,0,1500000,190000,6503,1
1,0,1,2,1,7260,0,1920,4,100,0,0,0,1500000,200000,29982,0
0,0,0,2,3,7452,2650,1930,3,100,0,1,0,1500000,300000,0,1
0,0,0,2,1,4400,0,2008,3,100,0,0,0,1500000,0,5668,1
0,0,0,3,1,3400,0,1935,2,100,0,0,0,1500000,50000,2755,1
0,0,0,2,1,7000,0,1928,4,100,0,0,0,1500000,100000,11023,1
0,0,0,2,1,3200,0,1920,4,100,0,0,1,1500000,150000,20303,1
0,0,0,2,1,3828,0,1901,4,100,0,0,0,1500000,0,2920,1
0,0,1,2,1,3583,0,1925,3,0,0,0,0,1500000,150000,0,0
0,0,0,3,1,6789,0,1960,3,100,0,0,0,1500000,100000,0,1
0,0,1,2,3,5000,0,2009,4,100,0,0,0,1500000,200000,5500,0
0,0,0,2,2,7500,0,2019,4,100,0,0,0,1500000,200000,0,1
0,5,1,2,1,4200,0,1910,4,100,0,0,1,1500000,232920,0,0
0,0,0,3,1,6150,0,1925,3,100,0,0,1,1500000,75000,5896,1
0,0,0,2,1,6951,0,1947,4,100,0,0,0,1500000,75000,4228,1
1,0,1,3,1,4524,0,1975,3,100,0,0,0,1500000,50000,0,0
1,0,0,3,1,3791,0,1855,4,100,0,0,0,1500000,150000,0,0
0,0,1,3,1,7000,1000,1930,3,100,0,1,0,1500000,50000,11023,0
0,0,0,3,3,4000,0,2018,4,100,0,0,0,1500000,40000,4780,1
0,0,1,2,1,4200,800,1930,3,100,0,1,1,1500000,80000,0,0
0,0,0,2,1,5760,0,1931,4,100,0,0,0,1500000,250000,7444,1
0,0,0,4,1,4729,0,1920,3,100,0,0,0,1510000,250000,8258,1
0,0,0,3,1,5230,0,2016,3,100,0,0,0,1520000,25000,0,1
0,0,0,2,1,5600,2000,1931,3,100,0,1,0,1520000,150000,8501,1
0,0,0,3,1,8111,0,2014,4,100,0,0,0,1523000,100000,0,1
0,0,0,2,1,6156,0,1920,4,100,0,0,0,1539000,72000,5617,1
0,0,0,2,1,6480,0,1910,4,100,0,0,0,1547000,175000,0,1
0,0,0,2,1,7128,0,1905,4,100,0,0,0,1547100,175000,8040,1
1,0,1,2,1,6364,0,1905,4,87,0,0,0,1550000,325000,4182,0
0,0,0,3,1,4134,0,1935,2,100,0,0,0,1561920,150000,2087,1
0,0,0,2,1,8125,0,1905,4,100,0,0,0,1576000,120000,7682,1
0,0,0,2,1,7920,0,2003,3,100,0,0,0,1584000,0,10728,1
1,0,0,2,1,7920,0,2003,3,100,0,0,0,1584000,90000,10728,0
0,0,0,3,1,4842,0,1900,3,100,0,0,1,1600000,0,0,1
0,0,0,2,1,7000,0,1940,4,100,0,0,0,1600000,200000,11023,1
0,0,1,2,1,7200,1800,1935,4,100,0,1,0,1600000,200000,7473,0
1,0,0,2,1,11375,0,1913,4,100,0,0,0,1600000,60000,17336,0
0,0,0,2,1,7000,0,1940,4,100,0,0,0,1600000,200000,11023,1
1,0,1,2,1,7840,0,1898,3,100,0,0,0,1600000,160000,9078,0
1,0,0,3,1,4100,0,1854,4,100,0,0,0,1600000,125000,2261,0
0,0,0,3,1,6300,2100,1970,3,100,0,1,0,1600000,0,9833,1
0,0,0,2,1,4875,0,1941,3,100,0,0,1,1600000,206000,6219,1
0,0,1,2,1,6000,1500,1931,4,100,0,1,0,1624826,150000,6528,0
0,0,0,2,1,6500,0,1931,4,100,0,0,0,1625000,162500,5776,1
0,0,0,3,1,7020,0,1930,3,100,0,0,1,1631500,40000,13047,1
0,0,0,2,1,6600,0,1910,5,100,0,0,0,1637000,250000,6503,1
0,0,0,2,1,7700,0,1905,4,100,0,0,0,1648889,150000,7783,1
0,0,0,2,1,6736,0,1930,4,100,0,0,0,1650000,168000,0,1
0,5,1,2,1,8310,1250,1910,3,100,0,1,0,1652461,302400,4918,0
1,0,0,2,1,6800,0,1910,4,100,0,0,0,1673000,60000,6025,1
0,0,1,2,1,10700,0,1930,4,100,0,0,0,1674657,0,0,0
0,0,0,2,1,4180,0,1931,4,100,0,0,0,1675000,187000,1727,1
0,0,0,4,1,7461,0,1990,3,100,0,0,0,1680000,18000,0,1
0,0,0,2,1,6705,0,1900,5,100,0,0,0,1684000,379800,9231,1
0,0,1,2,1,5000,1250,1900,4,100,0,1,0,1687296,300000,5500,0
0,0,0,2,1,7500,1500,1910,0,85,0,1,0,1687500,300000,0,1
1,0,1,1,1,6730,0,1900,5,100,0,0,0,1688500,200000,8504,0
0,0,0,2,1,4075,0,1910,3,100,0,0,0,1688833,165572,0,1
0,0,1,2,1,8400,0,1931,4,100,0,0,0,1700000,150000,7637,0
1,5,0,2,1,6835,1697,1925,3,100,0,1,0,1700000,115000,16347,0
0,0,0,3,1,3000,0,1901,4,100,0,0,0,1700000,150000,2830,1
0,0,1,2,1,8500,1000,1931,3,100,0,1,0,1700000,0,9708,0
0,0,0,2,1,6183,0,1920,5,100,0,0,0,1700000,266833,8776,1
0,0,0,4,1,7000,0,2001,3,100,0,0,0,1719744,18000,11023,1
0,0,0,1,1,6820,0,1910,5,100,0,0,0,1736000,152000,6549,1
0,0,0,2,1,8500,0,1935,4,100,0,0,1,1740000,200000,9708,1
0,0,0,2,3,8700,2500,2016,5,100,0,1,0,1750000,240000,13505,1
1,0,1,2,1,5960,0,1910,4,100,0,0,0,1750000,199000,0,0
0,0,0,2,4,10440,5000,1998,2,100,0,1,0,1750000,125000,8359,1
0,0,0,1,1,5777,0,1920,4,100,0,0,0,1750000,75000,6473,1
0,0,0,2,1,10440,5220,1998,2,100,0,1,0,1750000,200000,8359,1
0,0,0,2,1,4000,0,1900,4,100,0,0,0,1750000,115000,4780,1
1,0,1,2,1,6092,0,1900,4,100,0,0,0,1750000,199000,0,0
1,0,1,2,1,9179,0,1900,5,100,0,0,0,1750000,200000,5481,0
0,0,1,2,1,8780,3500,1930,4,100,0,1,1,1756000,40000,9369,0
0,0,0,2,1,8100,0,1930,3,100,0,0,0,1760000,172800,0,1
0,0,0,2,3,10085,0,2004,4,100,0,1,0,1764875,144000,7697,1
0,0,0,2,3,10085,0,2004,4,100,0,0,0,1764875,144000,7697,1
0,0,0,2,1,6928,0,1985,4,100,0,0,0,1768000,240000,8284,1
0,0,0,2,1,9450,1575,1931,3,100,0,1,0,1781150,200000,10999,1
0,0,0,2,1,7200,0,1929,3,100,0,0,0,1800000,270000,7473,1
0,0,0,2,1,5000,2400,1920,4,100,0,1,1,1800000,250000,5500,1
1,0,1,2,1,8700,2177,1930,4,100,0,1,1,1800000,360000,13505,0
0,0,0,2,2,5900,0,2020,4,100,0,0,0,1800000,50000,0,1
0,0,0,2,1,3040,0,1901,4,100,0,0,1,1800000,160000,0,1
0,0,1,4,1,9984,0,2012,4,100,0,0,1,1800000,52700,17388,0
0,0,0,2,2,4359,0,2013,4,100,0,0,0,1800000,250000,3856,1
0,0,0,2,1,6075,0,1931,3,100,0,0,1,1822500,150000,7298,1
0,0,0,2,1,6500,0,2020,5,100,0,0,0,1850000,240000,5776,1
0,0,0,3,1,5250,0,1970,3,100,0,0,0,1850000,35000,5924,1
0,0,0,2,1,10500,0,1920,3,100,0,0,0,1851336,183000,10808,1
0,0,0,3,1,4100,0,1910,3,100,0,0,0,1860000,40000,2261,1
0,0,0,2,3,7660,0,2008,4,100,0,0,0,1870000,245845,4158,1
0,0,0,2,3,7660,0,2007,4,100,0,0,0,1870000,245845,4158,1
0,0,0,2,3,7660,0,2007,4,100,0,0,0,1870000,245844,4158,1
0,0,0,2,1,7410,1795,1910,4,100,0,1,0,1884000,100000,8301,1
0,0,0,1,1,6465,0,1910,4,100,0,0,0,1884000,0,0,1
0,0,0,2,2,7586,0,2018,4,100,0,0,0,1896500,360000,9912,1
0,0,0,2,1,3780,0,1931,4,100,0,0,0,1900000,175000,2729,1
1,0,0,2,1,2346,0,1899,3,100,0,0,0,1900000,140000,11670,0
1,0,0,2,1,2346,0,1899,3,100,0,0,0,1900000,140000,11670,0
1,0,0,2,1,2630,0,1899,0,100,0,0,0,1900000,140000,0,0
0,0,0,4,1,6274,0,1901,4,0,0,0,1,1900000,100000,10401,1
0,0,1,2,1,5088,1000,1910,4,100,0,1,0,1900000,195000,19442,0
0,0,1,2,1,5917,3215,1900,4,100,0,1,0,1900000,165000,7816,0
0,0,0,2,1,8928,0,1990,3,100,0,0,0,1923000,48000,0,1
0,0,1,2,1,6804,2268,1910,3,100,0,1,0,1946500,0,0,0
0,0,0,3,1,4186,0,1930,3,100,0,0,1,1950000,350000,2584,1
0,0,0,2,1,8000,0,1910,6,100,0,0,0,1950000,300000,9135,1
0,0,0,2,3,5046,0,2019,4,100,0,0,0,1950000,185000,5956,1
0,0,0,2,1,8040,2010,1976,3,100,0,1,0,1952082,198732,0,1
1,0,1,2,1,9688,0,1900,5,100,0,0,0,1975000,200000,3532,0
0,0,1,2,1,6120,0,1931,4,100,0,0,0,1989000,275700,5626,0
0,0,1,2,1,9000,0,1945,3,100,0,0,0,1990000,200000,9794,0
1,0,0,1,3,5000,0,1870,5,100,0,0,1,2000000,50000,5500,0
0,0,0,4,1,6500,0,1997,4,100,0,0,0,2000000,150000,5776,1
0,0,0,3,1,5477,0,1931,4,100,0,0,1,2000000,200000,6011,1
0,0,0,2,4,7000,0,2019,3,100,0,0,0,2000000,100000,11023,1
0,0,1,3,1,4842,0,1900,3,100,0,0,1,2000000,0,0,0
0,0,0,2,3,3800,0,2019,4,100,0,0,0,2000000,50000,6902,1
0,0,1,3,1,5000,0,2016,3,0,0,0,0,2000000,200000,5500,0
0,0,0,2,1,5825,1941,1975,3,100,0,1,0,2000000,83000,4886,1
0,0,0,2,1,7425,1350,1975,3,100,0,1,0,2000000,83000,0,1
0,0,0,4,1,7599,0,1930,4,100,1,0,0,2000000,75000,0,1
0,0,0,2,1,5773,2000,1960,3,100,0,1,0,2000000,250253,6942,1
0,0,0,2,2,6511,0,2019,5,100,0,0,0,2000000,200000,5555,1
0,0,0,2,1,7600,0,1915,4,100,0,0,0,2000000,265800,41555,1
1,0,0,1,3,5000,0,1870,5,100,0,0,1,2000000,50000,5500,0
0,0,0,4,1,6500,0,2015,4,100,0,0,0,2000000,25000,5776,1
